# time; p[kw]
2014-06-18 21:50:36; 0.168
2014-06-18 21:55:36; 0.240
2014-06-18 22:00:36; 0.204
2014-06-18 22:05:36; 0.132
2014-06-18 22:10:36; 0.120
2014-06-18 22:15:36; 0.120
2014-06-18 22:20:36; 0.120
2014-06-18 22:25:36; 0.156
2014-06-18 22:30:36; 0.180
2014-06-18 22:35:36; 0.324
2014-06-18 22:40:36; 0.360
2014-06-18 22:45:36; 0.276
2014-06-18 22:50:36; 0.204
2014-06-18 22:55:36; 0.132
2014-06-18 23:00:36; 0.120
2014-06-18 23:05:36; 0.084
2014-06-18 23:10:36; 0.120
2014-06-18 23:15:36; 2.052
2014-06-18 23:20:36; 1.188
2014-06-18 23:25:36; 0.252
2014-06-18 23:30:36; 1.152
2014-06-18 23:35:36; 2.376
2014-06-18 23:40:36; 0.864
2014-06-18 23:45:36; 0.144
2014-06-18 23:50:36; 0.144
2014-06-18 23:55:36; 0.192
2014-06-19 00:00:36; 0.192
2014-06-19 00:05:36; 0.276
2014-06-19 00:10:36; 0.276
2014-06-19 00:15:36; 0.120
2014-06-19 00:20:36; 0.096
2014-06-19 00:25:36; 0.084
2014-06-19 00:30:36; 0.096
2014-06-19 00:35:36; 0.084
2014-06-19 00:40:36; 0.108
2014-06-19 00:45:36; 0.156
2014-06-19 00:50:36; 0.228
2014-06-19 00:55:36; 0.252
2014-06-19 01:00:36; 0.156
2014-06-19 01:05:36; 0.132
2014-06-19 01:10:36; 0.084
2014-06-19 01:15:36; 0.168
2014-06-19 01:20:36; 0.180
2014-06-19 01:25:36; 0.180
2014-06-19 01:30:36; 0.192
2014-06-19 01:35:36; 0.240
2014-06-19 01:40:36; 0.168
2014-06-19 01:45:36; 0.084
2014-06-19 01:50:36; 0.096
2014-06-19 01:55:36; 0.120
2014-06-19 02:00:36; 2.304
2014-06-19 02:05:36; 2.568
2014-06-19 02:10:36; 2.556
2014-06-19 02:15:36; 2.592
2014-06-19 02:20:36; 2.640
2014-06-19 02:25:36; 2.556
2014-06-19 02:30:36; 2.496
2014-06-19 02:35:36; 2.520
2014-06-19 02:40:36; 2.628
2014-06-19 02:45:36; 2.604
2014-06-19 02:50:36; 2.580
2014-06-19 02:55:36; 2.592
2014-06-19 03:00:36; 2.568
2014-06-19 03:05:36; 2.604
2014-06-19 03:10:36; 2.544
2014-06-19 03:15:36; 2.544
2014-06-19 03:20:36; 2.556
2014-06-19 03:25:36; 2.556
2014-06-19 03:30:36; 2.556
2014-06-19 03:35:36; 2.568
2014-06-19 03:40:36; 2.508
2014-06-19 03:45:36; 2.568
2014-06-19 03:50:36; 2.544
2014-06-19 03:55:36; 2.496
2014-06-19 04:00:36; 2.544
2014-06-19 04:05:36; 1.512
2014-06-19 04:10:36; 0.180
2014-06-19 04:15:36; 0.180
2014-06-19 04:20:36; 0.180
2014-06-19 04:25:36; 0.156
2014-06-19 04:30:36; 0.204
2014-06-19 04:35:36; 0.168
2014-06-19 04:40:36; 0.156
2014-06-19 04:45:36; 0.144
2014-06-19 04:50:36; 0.144
2014-06-19 04:55:36; 0.180
2014-06-19 05:00:36; 1.332
2014-06-19 05:05:36; 3.396
2014-06-19 05:10:36; 2.568
2014-06-19 05:15:36; 1.344
2014-06-19 05:20:36; 0.180
2014-06-19 05:25:36; 1.008
2014-06-19 05:30:36; 2.436
2014-06-19 05:35:36; 1.968
2014-06-19 05:40:36; 0.192
2014-06-19 05:45:36; 1.020
2014-06-19 05:50:36; 2.184
2014-06-19 05:55:36; 2.460
2014-06-19 06:00:36; 0.552
2014-06-19 06:05:36; 0.156
2014-06-19 06:10:36; 0.156
2014-06-19 06:15:36; 0.144
2014-06-19 06:20:36; 0.144
2014-06-19 06:25:38; 0.107
2014-06-19 06:30:36; 0.085
2014-06-19 06:35:36; 0.096
2014-06-19 06:40:36; 0.168
2014-06-19 06:45:36; 0.252
2014-06-19 06:50:36; 0.192
2014-06-19 06:55:36; 0.180
2014-06-19 07:00:36; 0.168
2014-06-19 07:05:36; 0.156
2014-06-19 07:10:36; 0.096
2014-06-19 07:15:36; 0.120
2014-06-19 07:20:36; 0.144
2014-06-19 07:25:36; 0.216
2014-06-19 07:30:36; 1.440
2014-06-19 07:35:36; 3.684
2014-06-19 07:40:36; 5.304
2014-06-19 07:45:36; 3.348
2014-06-19 07:50:36; 2.472
2014-06-19 07:55:36; 2.520
2014-06-19 08:00:36; 0.972
2014-06-19 08:05:36; 0.168
2014-06-19 08:10:36; 0.360
2014-06-19 08:15:36; 0.444
2014-06-19 08:20:36; 0.384
2014-06-19 08:25:36; 0.324
2014-06-19 08:30:36; 0.312
2014-06-19 08:35:36; 0.264
2014-06-19 08:40:36; 0.228
2014-06-19 08:45:36; 0.216
2014-06-19 08:50:36; 1.272
2014-06-19 08:55:36; 2.604
2014-06-19 09:00:36; 1.212
2014-06-19 09:05:36; 0.588
2014-06-19 09:10:36; 2.652
2014-06-19 09:15:36; 1.356
2014-06-19 09:20:36; 1.344
2014-06-19 09:25:36; 1.908
2014-06-19 09:30:36; 1.752
2014-06-19 09:35:36; 1.212
2014-06-19 09:40:36; 0.720
2014-06-19 09:45:36; 1.056
